timestamp,container,cpu_perc,mem_usage,mem_limit,mem_perc,net_io,block_io
2025-12-01T11:39:38,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:39,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:40,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:41,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:42,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:43,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:45,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:46,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:47,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:48,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:49,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:50,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:51,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:52,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:53,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:54,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:55,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:56,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:57,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:58,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:59,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:40:00,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:40:01,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:40:02,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:40:03,onnx-int8-api,155.90%,183.7MiB / 7.654GiB,2.34%,652B / 0B,0B / 0B
2025-12-01T11:40:06,onnx-int8-api,0.33%,183MiB / 7.654GiB,2.34%,1.57kB / 0B,0B / 0B
2025-12-01T11:40:08,onnx-int8-api,0.53%,183MiB / 7.654GiB,2.34%,1.57kB / 0B,0B / 0B
2025-12-01T11:40:11,onnx-int8-api,0.39%,183MiB / 7.654GiB,2.34%,1.57kB / 0B,0B / 0B
2025-12-01T11:40:14,onnx-int8-api,0.34%,183MiB / 7.654GiB,2.34%,1.57kB / 0B,0B / 0B
